doi,title,abstract,published_year,journal_title,issn_list,publisher,authors,subject,ref_count,source,region,confession,subfield_tags,method_tags,era_tags
10.1007/s10677-025-10489-w,Respect for Rights and Liability to Defensive Harm,"<jats:title>Abstract</jats:title>
          <jats:p>This paper defends a novel framework for thinking about our rights against being harmed, paying special attention to the conditions under which they are enforceable through a liability mechanism. It contends that a central purpose of our rights is to specify what steps others are required to take, in their role as agents, to avoid harming us. To be geared towards this relational purpose, rights need to be equipped with a subjective component that lays out how an agent ought to deliberate and conduct herself in light of the epistemic constraints she faces. Based on these ideas, the paper develops a hybrid account of rights according to which the <jats:italic>ex ante</jats:italic> and <jats:italic>ex post</jats:italic> duties implied by our rights are entirely subjective. If an agent abides by the duties imposed on her by another person’s rights, she <jats:italic>respects</jats:italic> these rights. If she violates the duties, she <jats:italic>disrespects</jats:italic> the rights. The account developed is hybrid because it stipulates that a person’s rights protect her against objectively specified harm, even if the duties imposed on others are merely subjective. I argue that this is less paradoxical than it may seem. The paper then defends an account of liability to defensive harm that grounds an agent’s liability in her disrespect for others’ rights, and which fixes the extent of her liability by reference to what defenders reasonably perceive to be necessary and proportionate defensive harm in light of the agent’s disrespectful conduct.</jats:p>",2025,Ethical Theory and Moral Practice,['1386-2820' '1572-8447'],Springer Science and Business Media LLC,['Susanne Burri'],[],32.0,crossref,en,Philosophy/Ethics,,,
10.1007/s10677-025-10490-3,"Corrado Fumagalli and Valeria Ottonelli (eds.): Votare o no. La pratica democratica del voto, tra diritto individuale e scelta collettiva",,2025,Ethical Theory and Moral Practice,['1386-2820' '1572-8447'],Springer Science and Business Media LLC,['Federica Liveriero'],[],0.0,crossref,en,Philosophy/Ethics,,,
10.1007/s10677-025-10491-2,"Against Parental Devotion: On Power, Friendships, and Flourishing","<jats:title>Abstract</jats:title>
          <jats:p>Modern parenting is demanding. Parenting of this sort, given its demands, will tend to crowd out other aspects of our lives, including our other relationships. In this article, we raise a distinctive concern about the way in which modern intensive parenting crowds out other relationships. We argue that parenting, given current norms and family structures, is an unpromising site for our character development, and thus for our flourishing, because of the kind of power that parents exercise in the family and because of the context in which they exercise that power. Parents therefore have flourishing based reasons to pursue other relationships, notably friendship, which contributes in distinctive ways to our flourishing in the context of a relationship characterised by equality, not hierarchy. In making these arguments, the article both intervenes in the emerging literature on parental power and strengthens existing critiques of the prioritisation of romantic and familial bonds over and above other forms of relationship.</jats:p>",2025,Ethical Theory and Moral Practice,['1386-2820' '1572-8447'],Springer Science and Business Media LLC,['Emily McTernan' 'Katy Wells'],[],47.0,crossref,en,Philosophy/Ethics,,,
10.1007/s10677-025-10492-1,Citizen Preferences Matter: Against the Moderate Republican Conception of Freedom,"<jats:title>Abstract</jats:title>
                  <jats:p>In this paper, I argue that the most recent moderate republican conception of freedom is not sufficiently plausible in all relevant cases. The most recent moderate republican view does not capture the distinctive character of republican freedom, or freedom of the person, because it focuses exclusively on the type-difference of a supposedly powerful agent, not on the type-difference of those affected by that agent, such as civic-type or non-civic-type. This problem of focusing exclusively on the specific agent-type-difference becomes apparent when considering the possible worlds in which, according to the most recent moderate republican view, the subjects of interference lack freedom as non-domination due to the absence of effective institutional arrangements. In this paper, I show that this ultimately undermines the most recent moderate republican view even in possible worlds where individuals appear to enjoy freedom as non-domination due to the presence of effective institutional structures.</jats:p>",2025,Ethical Theory and Moral Practice,['1386-2820' '1572-8447'],Springer Science and Business Media LLC,['Akira Inoue'],[],1.0,crossref,en,Philosophy/Ethics,,,
10.1007/s10677-025-10493-0,Laura Garcia Portela: Rectifying Climate Injustice: Reparations for Loss and Damage,,2025,Ethical Theory and Moral Practice,['1386-2820' '1572-8447'],Springer Science and Business Media LLC,['Simon Kräuchi'],[],5.0,crossref,en,Philosophy/Ethics,Ethics,,
10.1007/s10677-025-10494-z,“When in Rome…”: on the Authority of Social Norms,"<jats:title>Abstract</jats:title>
                  <jats:p>The debate on moral norms and standards is as old as philosophy itself. But social norms and conventions have finally started attracting their fair share of attention too. Their authority is the topic of two sophisticated books published in the last few years, namely David Owens’ Bound by Convention (2022) and Laura Valentini’s Morality and Socially Constructed Norms (2023). In this essay, I present the theoretical outlooks of these two books and then proceed to criticize both. First, I point out a small but significant flaw in Valentini’s ontological account of social norms, according to which such norms obtain in virtue of the beliefs and commitments of rule-followers. More specifically, I argue that such an account – to make sense – should include a reference to the desires of rule followers too. Then, I develop Valentini’s crucial criticism against Owens, according to which Owens’ account cannot make sense of the obligatory character of certain social norms. In this respect I argue that Owens’ answer to such criticism fails in a way that reveals even deeper flaws than Valentini recognizes.</jats:p>",2025,Ethical Theory and Moral Practice,['1386-2820' '1572-8447'],Springer Science and Business Media LLC,['Francesco Testini'],[],14.0,crossref,en,Philosophy/Ethics,,,
10.1007/s10677-025-10495-y,"Preference Intensity, Age-Weighted Votes, and the Democratic Empowerment of Young Citizens: A Reply to Kim Angell","<jats:title>Abstract</jats:title>
                  <jats:p>In a recent paper, Kim Angell contends that we should increase young people’s voting power. He defends this contention with intuition-based arguments and the All-Affected Principle and All-Subjected Principle. His arguments are informed by a conception of political inclusion according to which people’s democratic enfranchisement should be proportional to the intensity of their preferences for the alternatives being considered. This view, however, is too exclusionary towards persons with low preference intensity—such as ascetics—and creates perverse incentives to adopt expensive tastes. Since this conception of political inclusion plays a pivotal role in Angell’s argument, its weaknesses invalidate his thesis.</jats:p>",2025,Ethical Theory and Moral Practice,['1386-2820' '1572-8447'],Springer Science and Business Media LLC,['Marco Miglino'],[],1.0,crossref,en,Philosophy/Ethics,,,
10.1007/s10677-025-10496-x,Disagreement and Expressions of Dissent Within Public Institutions,"<jats:title>Abstract</jats:title>
          <jats:p>The paper explores the relation between disagreement and expressions of dissent within public institutions. Public servants can use their powers of office to express dissent with certain aspects of mandates and dispositions, especially when these conflict with their personal morality or broader moral values. Additionally, public servants’ dissent can also be directed towards the raison d’être of a public institution if it perceived as objectionable. The paper focuses on disagreement as a source of dissent within public institutions. Expressions of dissent as a reaction to disagreement would arise from the interplay of the rights and duties accruing to individuals in different capacities and the structural uncertainty that pervades public institutions. Structural uncertainty stems from the open-ended nature of institutional raison d’être, the vagueness and ambiguity of legal provisions and office mandates, and the existence of multiple, non-orderly, and vaguely defined institutional functions and objectives that vary over time and space. The paper explores various types of disagreement resulting from this interplay and underscores how each type of disagreement can trigger expressions of dissent by public servants within public institutions.</jats:p>",2025,Ethical Theory and Moral Practice,['1386-2820' '1572-8447'],Springer Science and Business Media LLC,['Marta Giunta Martino'],[],2.0,crossref,en,Philosophy/Ethics,,,
10.1007/s10677-025-10497-w,Marko Jurjako: Normative Reasons from a Naturalistic Point of View,,2025,Ethical Theory and Moral Practice,['1386-2820' '1572-8447'],Springer Science and Business Media LLC,['Elizabeth Ventham'],[],4.0,crossref,en,Philosophy/Ethics,,,
10.1007/s10677-025-10498-9,"The Hidden Values of Resisting Temptation: Effort, Meaning, and Self-Knowledge","<jats:title>Abstract</jats:title>
                  <jats:p>
                    Self-control is generally regarded as a valuable capacity. However, the value of
                    <jats:italic>directly resisting temptations</jats:italic>
                    (a central part of our commonsense notion of self-control) has recently come under attack. Directly resisting temptations – as opposed to avoiding them – has been claimed to have several drawbacks, such as being an inefficient way of dealing with temptations, not contributing to an agent’s well-being, or even causing harmful “mental fragmentation.” In fact, some claim that most or all of the values of self-control can be achieved, not by struggling to directly resist temptations, but rather by steering clear of them. In this paper, we seek to push back against this trend. We argue that there are specific values attached to directly resisting temptations that cannot be secured by avoiding them. Drawing on recent psychological evidence, we suggest that a significant part of the value of ‘direct resistance’ is grounded in the fact that it involves
                    <jats:italic>the exertion of effort</jats:italic>
                    . Due to this feature, we contend, directly resisting temptations can both make our activities feel more meaningful and provide us with a valuable form of self-knowledge.
                  </jats:p>",2025,Ethical Theory and Moral Practice,['1386-2820' '1572-8447'],Springer Science and Business Media LLC,['Edmund Henden' 'Hannah Altehenger'],[],44.0,crossref,en,Philosophy/Ethics,,,
10.1007/s10677-025-10499-8,Do We Have the Right to Punish Each Other?,"<jats:title>Abstract</jats:title>
          <jats:p>Social punishments– the informal penalties imposed by private individuals, rather than formal authorities– like the practice of online public shaming have attracted attention from philosophers, other academics, and journalists. Several have emphasized the harmful nature of social punishments, and the tendency of practices like public shaming to be disrespectful and disproportionate. So, what (if anything) justifies practices of social punishment like public shaming? Some authors have pointed out the important role social punishments play in enforcing morally valuable and authoritative norms, like norms against racist or sexist behaviour. In this paper, I argue that while these authors are correct in claiming that social punishments help to enforce valuable norms, their accounts fall short of explaining why private individuals are justified in imposing harm on others. Some obvious and intuitive explanations– like the claim that wrongdoers forfeit their rights against being harmed– fail to show that private individuals are permitted to harm others. As a result, more work needs to be done to develop our accounts of how and why social punishments can be justified.</jats:p>",2025,Ethical Theory and Moral Practice,['1386-2820' '1572-8447'],Springer Science and Business Media LLC,['James Edgar Lim'],[],2.0,crossref,en,Philosophy/Ethics,,,
10.1007/s10677-025-10500-4,Editorial,,2025,Ethical Theory and Moral Practice,['1386-2820' '1572-8447'],Springer Science and Business Media LLC,['Bradford Cokelet'],[],0.0,crossref,en,Philosophy/Ethics,,,
10.1007/s10677-025-10501-3,Correction to: “When in Rome…”: on the Authority of Social Norms,,2025,Ethical Theory and Moral Practice,['1386-2820' '1572-8447'],Springer Science and Business Media LLC,['Francesco Testini'],[],0.0,crossref,en,Philosophy/Ethics,,,
10.1007/s10677-025-10502-2,"Correction to: The Hidden Values of Resisting Temptation: Effort, Meaning, and Self-Knowledge",,2025,Ethical Theory and Moral Practice,['1386-2820' '1572-8447'],Springer Science and Business Media LLC,['Edmund Henden' 'Hannah Altehenger'],[],0.0,crossref,en,Philosophy/Ethics,,,
10.1007/s10677-025-10503-1,A Non-Solution to the Non-Identity Problem,,2025,Ethical Theory and Moral Practice,['1386-2820' '1572-8447'],Springer Science and Business Media LLC,['K. Lindsey Chambers'],[],1.0,crossref,en,Philosophy/Ethics,,,
10.1007/s10677-025-10504-0,How Bad Can the Lives of Persons and Animals Go? On the Alleged Asymmetrical Effect of Cognitive Capacities on the Potentials for Welfare of Persons and Animals,,2025,Ethical Theory and Moral Practice,['1386-2820' '1572-8447'],Springer Science and Business Media LLC,['Bernardo Aguilera'],[],63.0,crossref,en,Philosophy/Ethics,,,
10.1007/s10677-025-10505-z,"Vaccination, Risk, and Beneficence","<jats:title>Abstract</jats:title>
          <jats:p>Should health authorities exclude vaccines with a small risk of severe side effects during a deadly pandemic, even if this is expected to lead to more harm due to delayed vaccination and prolonged social distancing measures? This question was at the centre of controversy amid the COVID-19 pandemic, where countries excluded vaccines with harmful side effects for some or all groups. Through this case study, I test the normative force and empirical applicability of principles for vaccine allocation and argue for the superiority of a Principle of Sufficient Benefit, according to which health authorities should only offer vaccines that sufficiently improve the recipient’s prospects. I present multiple challenges to the principle: that it is self-defeating, leads to unfair and societally worse outcomes, and prevents people from doing their duties. Given the force of these objections, I conclude that the most satisfactory justification for excluding riskier vaccines fails. In the final section, I argue that compensating people for receiving vaccines with higher risks is a way of retaining the force of the Principle of Sufficient Benefit while accounting for the possibly unfair and harmful consequences that result from putting the recipients first.</jats:p>",2025,Ethical Theory and Moral Practice,['1386-2820' '1572-8447'],Springer Science and Business Media LLC,['Aksel Braanen Sterri'],[],67.0,crossref,en,Philosophy/Ethics,,,
10.1007/s10677-025-10506-y,Flawed Heroes and Historical Moral Culpability,"<jats:title>Abstract</jats:title>
                  <jats:p>There has been extensive debate concerning past wrongdoers whose culpability is potentially mitigated by being raised in ethically flawed societies: Rosen’s “Hittite lord”, Fricker’s “traditional schoolmaster” and Wolf’s “male chauvinists”, for example. I argue that the most morally and philosophically significant such cases have been overlooked or misunderstood. To show this, I introduce “flawed heroes”: the example I use is Abraham Lincoln on slavery and race. Raised in societies with ethical views far from our own, such figures are now regarded as heroes because of their moral leadership; they are now regarded as flawed because their views remained deeply misguided. I begin by sketching the existing debate and introducing the contrasting category of a man or woman ‘of their time’ (§1). I next define and motivate the “flawed hero” case, and I outline Lincoln’s position (§2). I then examine whether, how and why any blame attached to him might be mitigated on a quality of will model (§3) and on a control model (§4). These results demonstrate the complex relations between historical culpability and differing theories of responsibility, and they give a sharper understanding of this crucial set of cases.</jats:p>",2025,Ethical Theory and Moral Practice,['1386-2820' '1572-8447'],Springer Science and Business Media LLC,['Sacha Golob'],[],48.0,crossref,en,Philosophy/Ethics,,,
10.1007/s10677-025-10507-x,Challenging Ethical Practices: From Moral Psychology to Normative Theory and Back Again,,2025,Ethical Theory and Moral Practice,['1386-2820' '1572-8447'],Springer Science and Business Media LLC,['Lubomira Radoilska'],[],3.0,crossref,en,Philosophy/Ethics,,,
10.1007/s10677-025-10508-w,Is Veganism Not Good Enough? Industrial Plant Agriculture and Unnecessary Harm,"<jats:title>Abstract</jats:title>
          <jats:p>Some philosophers have sought to reject industrial animal agriculture by appealing to what we may call the <jats:italic>Principle of Unnecessary Harm</jats:italic> – the principle according to which it is wrong to cause, or support practices that cause, extensive, unnecessary harm to animals. Since factory farming causes extensive, unnecessary harm, so the argument goes, it is morally impermissible. But, as some philosophers have argued, certain forms of industrial plant agriculture may also cause extensive harm to animals as a result of harvesting, pesticides, and land clearing. Furthermore, this harm may be unnecessary, since we could eat plants from less harmful sources such as backyard or vertical farms. If so, then simply being vegan (or having a diet consisting of plants and non-factory-farmed animal products) is not good enough, since one may also have an obligation to abstain from certain plant foods if the production of such foods also causes unnecessary harm to animals. In this paper, I assess the plausibility of this argument. First, I consider several arguments as to why industrial plant agriculture may not cause extensive harm to animals. I show that these arguments face significant difficulties, and argue that more empirical support is needed to dispute the claim that industrial plant agriculture causes extensive harm to animals. I then argue, however, that even if it does cause extensive harm to animals, this harm is plausibly necessary. For this reason, I argue, the practice as-a-whole is not morally problematic according to the <jats:italic>Principle of Unnecessary Harm</jats:italic>. I finish by addressing the concern that even if the <jats:italic>practice as-a-whole</jats:italic> does not cause extensive, unnecessary harm to animals, certain <jats:italic>individuals</jats:italic> may have an obligation to abstain from purchasing industrially produced plant foods.</jats:p>",2025,Ethical Theory and Moral Practice,['1386-2820' '1572-8447'],Springer Science and Business Media LLC,['Joshua Jarvis-Campbell'],[],33.0,crossref,en,Philosophy/Ethics,,,
10.1007/s10677-025-10509-9,The Problem with the ‘Now What’ Problem,"<jats:title>Abstract</jats:title>
          <jats:p>It has long been assumed that the moral error theory faces a ‘Now What’ problem. The error theory says that all moral judgments are false, and the ‘Now What’ problem asks what we should do with our moral thought, talk, and practices in light of this conclusion. Whilst those in the debate often assume that solving the ‘Now What’ problem is an important burden for error theorists to overcome, the aim in this paper is to undermine this assumption. I do so in two steps. I first argue that the ‘Now What’ problem is best understood as a practical problem about what individual error theorists should do, rejecting an alternate framing of the problem which is found in the literature. I then argue that this problem is of little general interest, and respond to the claim that the plausibility of the error theory itself is in some way connected to the ‘Now What’ debate. Whilst the error theory does face many challenges, if my arguments are correct then the ‘Now What’ problem is not one of them.</jats:p>",2025,Ethical Theory and Moral Practice,['1386-2820' '1572-8447'],Springer Science and Business Media LLC,['Declan O’Gara'],[],31.0,crossref,en,Philosophy/Ethics,,,
10.1007/s10677-025-10510-2,Review of Jamie Draper: Climate Displacement,,2025,Ethical Theory and Moral Practice,['1386-2820' '1572-8447'],Springer Science and Business Media LLC,['Kerstin Reibold'],[],2.0,crossref,en,Philosophy/Ethics,,,
10.1007/s10677-025-10511-1,Introduction to the Special Issue on the Ethics of Argumentation,,2025,Ethical Theory and Moral Practice,['1386-2820' '1572-8447'],Springer Science and Business Media LLC,['Andrew Aberdein' 'Katharina Stevens'],[],8.0,crossref,en,Philosophy/Ethics,,,
10.1007/s10677-025-10512-0,Does Distributive Inequality Cause Relational Inequality? Evidence from a Survey Experiment,"<jats:title>Abstract</jats:title>
                  <jats:p>Contemporary egalitarian theory has been shaped by a debate between distributive and relational perspectives. Relational egalitarians argue that equality is primarily about the character of our social and political relationships, rather than the pattern of distribution of goods. But they often also claim that distributive and relational ideals are connected in practice, because material inequality impairs our ability to stand as social and political equals. Using a survey experiment, we assess the impact of material inequality on relational equality. We show that priming income inequality increases perceptions of unequal social status; but it does not affect perceived equal political standing, or the extent to which respondents affirm the ideal of relational equality. We argue that this empirical approach yields deeper payoffs for conceptual and normative questions about relational equality; and it contributes to wider methodological debates about the role of survey data in normative political theory.</jats:p>",2025,Ethical Theory and Moral Practice,['1386-2820' '1572-8447'],Springer Science and Business Media LLC,['Alice Baderin' 'Lucy Barnes' 'Lindsay Richards'],[],82.0,crossref,en,Philosophy/Ethics,,,Contemporary
10.1007/s10677-025-10513-z,Values and Vampires: Why Moral Axiology Withstands the Argument From Queerness,"<jats:title>Abstract</jats:title>
          <jats:p>The argument from queerness is one of the most important arguments for moral error theory. Moral error theory holds that moral discourse is hopelessly flawed or, more precisely, that all moral judgements are false. The argument from queerness, in the version I am concerned with, claims that moral discourse is centrally committed to the thesis that moral facts entail categorical reasons, understood as irreducibly normative favouring relations, and that if this thesis were true, moral facts would be queer. In this paper, I argue that axiology does not fall prey to the argument from queerness. Axiology is the part of moral discourse that examines which things are good, which things are bad, and what makes good things good and bad things bad. I argue that axiology survives the argument from queerness for three reasons. First, many axiological judgements are not committed to the thesis in question. Second, some judgements about moral value are committed to the thesis but do not belong to axiology. Third, some axiological judgements are committed to the thesis but can simply be removed from axiological discourse.</jats:p>",2025,Ethical Theory and Moral Practice,['1386-2820' '1572-8447'],Springer Science and Business Media LLC,['Vuko Andrić'],[],44.0,crossref,en,Philosophy/Ethics,NT,,
10.1007/s10677-025-10514-y,Can Deepfakes Violate an Individual’s Moral Right to Privacy?,"<jats:title>Abstract</jats:title>
                  <jats:p>So-called “deepfakes” (i.e., highly believable but fabricated media) are infamous for their potential political application. However, they can also contain false information about individuals, which raises the question whether deepfakes can violate a moral right to privacy. This question is directly related to the often ignored but still highly contentious issue of whether the spreading or use of false or fake information can violate a moral right to privacy. While such queries normally turn on how we conceptualize a moral right to privacy, they are answered here based on premises that any conception of the moral right to privacy must adhere to.</jats:p>",2025,Ethical Theory and Moral Practice,['1386-2820' '1572-8447'],Springer Science and Business Media LLC,['Björn Lundgren'],[],1.0,crossref,en,Philosophy/Ethics,,,
10.1007/s10677-025-10515-x,Virtues and Rules in War: Military Ethics and Technologies of Radical Risk-Reduction,,2025,Ethical Theory and Moral Practice,['1386-2820' '1572-8447'],Springer Science and Business Media LLC,['Andrew P. Rebera' 'Nathan Gabriel Wood'],[],1.0,crossref,en,Philosophy/Ethics,,,
10.1007/s10677-025-10516-w,What’s Wrong with Being an Extremist? On Clarke and Coady’s Conceptual Arguments Against Anti-Extremism,"<jats:title>Abstract</jats:title>
          <jats:p>Extremism often carries “an unmissable and inescapable negative connotation” (Cassam 2021, p.34) and has become “an increasingly convenient insult” (Berger 2018, p.2). But what exactly is wrong with being an extremist? One answer is that the wrongness of being an extremist comes, at least in part, from the extremeness of their beliefs. I assess two arguments, offered by Clarke (2019) and Coady (2024), which reject this view and go further by suggesting that being an extremist is never, in itself, wrong. Drawing on two contrasting accounts of what it means for a belief to be extreme (the edge and outlier accounts) I reconstruct Clarke and Coady’s arguments and explore their implications. I conclude that, although their defence of extremism overreaches, there are nonetheless reasons to challenge the idea that holding extreme beliefs is wrong.</jats:p>",2025,Ethical Theory and Moral Practice,['1386-2820' '1572-8447'],Springer Science and Business Media LLC,['Morgan Luck'],[],27.0,crossref,en,Philosophy/Ethics,,,
10.1007/s10677-025-10517-9,Moral Answerability in Clinical Ethics Consultation,"<jats:title>Abstract</jats:title>
                  <jats:p>In this paper, we discuss a concern about moral testimony in the context of clinical ethics consultation. We argue that deference to moral testimony complicates the notion of moral answerability. By moral answerability, we mean roughly the notion of being the appropriate target for demands for moral justification regarding a belief or action and being eligible for a variety of moral responses. In cases of deference to moral testimony, it is unclear whether it is the testifier or the deferring agent who is morally answerable for the testimony-based belief and any requisite action performed on the basis of said belief. We discuss the implications of this idea for the practice of clinical ethics consultation. We explore whether the ethicist or the consultee is answerable for beliefs formed and actions performed as outcomes of the consultation. We outline the various considerations for holding each party answerable and ultimately propose a joint answerability account according to which both the ethicist and the consultee are answerable for moral responses, but to different degrees depending on the context.</jats:p>",2025,Ethical Theory and Moral Practice,['1386-2820' '1572-8447'],Springer Science and Business Media LLC,['Megan Kitts' 'Emily Slome'],[],17.0,crossref,en,Philosophy/Ethics,,,
10.1007/s10677-025-10518-8,Structural Injustice and Counterfactuals: Attributions of Responsibility,,2025,Ethical Theory and Moral Practice,['1386-2820' '1572-8447'],Springer Science and Business Media LLC,['Jin Hu' 'Jian Wang'],[],37.0,crossref,en,Philosophy/Ethics,Ethics,,
10.1007/s10677-025-10519-7,Jessica Begon: Disability Through the Lens of Justice,,2025,Ethical Theory and Moral Practice,['1386-2820' '1572-8447'],Springer Science and Business Media LLC,['Miklos Istvan Zala'],[],6.0,crossref,en,Philosophy/Ethics,Ethics,,
10.1007/s10677-025-10520-0,Cross-cultural and Applied Ethics in the Light of a Relational Moral Theory,"<jats:title>Abstract</jats:title>
                  <jats:p>
                    This article is a reply to six contributions to a special issue of
                    <jats:italic>Ethical Theory and Moral Practice</jats:italic>
                    that is devoted to critically discussing
                    <jats:italic>A Relational Moral Theory: African Ethics in and Beyond the Continent</jats:italic>
                    . In this book I articulate a comprehensive principle of rightness that is substantially informed by relational values salient in the African philosophical tradition (and some others in the Global South) and defend it as preferable to some major moral-theoretic rivals, including standard versions of utilitarianism and Kantianism. Some contributions argue for a method of undertaking cross-cultural ethics different from mine , while others consider to what extent my general ethic can entail and powerfully explain particular duties or at times aspects of morality beyond duties. The latter topics include: when biotechnological enhancements are permissible, how to respond emotionally to injustice, how solitude is morally significant, what we owe the environment, and what the obligations of a private business are. I work to clarify and motivate my approach within the constraints of a brief reply.
                  </jats:p>",2025,Ethical Theory and Moral Practice,['1386-2820' '1572-8447'],Springer Science and Business Media LLC,['Thaddeus Metz'],[],37.0,crossref,en,Philosophy/Ethics,Ethics,,
